"Name", "Light", "Dark", "Dark Elevated"
"Text/Emphasize", "Gray5", "White100", "White100"
"General/Theme/Primary", "Green70", "Green40", "Green40"
"General/Theme/Secondary", "Green95", "Green20", "Green20"
"General/Blue/Primary", "Blue60", "Blue50", "Blue50"
"General/Blue/Secondary", "Blue95", "Blue20", "Blue20"
"Text/Regular", "Gray20", "Gray80", "Gray80"
"Text/Subtle", "Gray60", "Gray60", "Gray60"
"Backgrounds/Primary", "White100", "Gray5", "Gray10"
"Backgrounds Grouped/Primary", "Gray99", "Gray5", "Gray10"
"Backgrounds Grouped/Secondary", "White100", "Gray10", "Gray20"
"Backgrounds Grouped/Tertiary", "Gray99", "Gray20", "Gray25"
"Backgrounds/Secondary", "Gray99", "Gray10", "Gray20"
"Backgrounds/Tertiary", "White100", "Gray20", "Gray25"
"Fills/Primary", "General/Gray/Secondary", "General/Gray/Secondary", "Gray25"
"Fills/Secondary", "Gray95", "Gray20", "Gray25"
"Line/Light", "Black10", "White10", "White10"
"Line/Regular", "Black20", "White20", "White20"
"Line/Deep", "Black40", "White40", "White40"
"Fills/Tertiary", "White100", "Gray10", "Gray20"
"Hover", "Black5", "White5", "White5"
"Segment/Background", "Black5", "White10", "White10"
"Segment/Selected", "White100", "Gray30", "Gray30"
"Text/Disable", "Gray80", "Gray30", "Gray30"
"Text/Link", "Blue60", "Blue50", "Blue50"
"General/Red/Primary", "Red60", "Red50", "Red50"
"General/Red/Secondary", "Red95", "Red20", "Red20"
"Contribution/Level 0", "#e8e8e8", "#3d3d3d", "#3d3d3d"
"Contribution/Level 1", "#cfe8d9", "#434d41", "#434d41"
"Contribution/Level 2", "#8ad9b1", "#698064", "#698064"
"Contribution/Level 3", "#53b88b", "#93bf89", "#93bf89"
"Bar Chart/Color/Green", "Green70", "Green70", "Green70"
"Snackbar/Fills", "Gray20", "Gray95", "Gray95"
"Snackbar/Text", "White100", "Gray5", "Gray5"
"Bar Chart/Color/Blue", "Blue60", "Blue60", "Blue60"
"Bar Chart/Color/Red", "Red60", "Red60", "Red60"
"Bar Chart/Bar Mask/Top", "White70", "White100", "White100"
"Bar Chart/Bar Mask/Bottom", "White100", "White70", "White70"
"Popover/Background", "White100", "Gray20", "Gray25"
"Logo Text", "Gray5", "Gray60", "Gray60"
"Destructive", "General/Red/Primary", "General/Red/Primary", "General/Red/Primary"
"Mask", "Mask-System", "Mask-System", "Mask-System"
"Text/Tag Header", "Brown70", "Brown50", "Brown50"
"General/Gray/Primary", "Gray60", "Gray50", "Gray50"
"General/Gray/Secondary", "Gray90", "Gray20", "Gray20"
